Sample_names,salt_mean,salt_median,salt_mode,salt_max,salt_min,salt_daily_range,salt_q95,salt_q5,salt_sd,temp_mean,temp_median,temp_mode,temp_max,temp_min,temp_daily_range,temp_q95,temp_q5,temp_sd,speed_mean,speed_median,speed_mode,speed_sd,DIC_mean,DIC_median,DIC_mode,DIC_max,DIC_min,DIC_q95,DIC_q5,DIC_sd,NH4_mean,NH4_median,NH4_mode,NH4_max,NH4_min,NH4_q95,NH4_q5,NH4_sd,EpiPAR_sg_mean,EpiPAR_sg_median,EpiPAR_sg_max,EpiPAR_sg_q95,EpiPAR_sg_q5,EpiPAR_sg_sd,Secchi_mean,Secchi_median,Secchi_mode,Secchi_max,Secchi_min,Secchi_q95,Secchi_q5,Secchi_sd,PH_mean,PH_median,PH_mode,PH_max,PH_min,PH_q95,PH_q5,PH_sd,alk_mean,alk_median,alk_mode,alk_max,alk_min,alk_q95,alk_q5,alk_sd,Chl_a_sum_mean,Chl_a_sum_median,Chl_a_sum_max,Chl_a_sum_q95,Chl_a_sum_q5,Chl_a_sum_sd,bPAR_sd
BLCH11A,35.19061315,35.29291686,35.42310081,35.65236158,32.81556088,0.037083315,35.50935195,34.54982902,0.309694437,26.74381948,27.04709057,27.18817145,31.54577934,22.95810651,0.293276524,29.62022685,23.81117606,1.927807708,0.084205478,0.07075,0.091517174,0.054698268,23033.47981,23030.98288,23073.64467,23237.13233,22845.83553,23182.18502,22891.92815,93.65268949,0.052398585,0.036820177,0.031929355,0.184215228,0.020280249,0.16890274,0.026496476,0.042976935,4.215770956,3.635285662,11.97776891,7.688149137,1.472650629,2.509654513,21.30941342,20.25358621,29.25104856,30.71248959,14.16297539,30.33771049,16.94167986,4.462871222,8.075038626,8.075881011,8.045395445,8.114228588,8.030396007,8.110683363,8.036900471,0.024680718,2252.630905,2252.241051,2259.263696,2269.729904,2241.324701,2262.487042,2242.495634,6.3878654,0.281412202,0.271612754,0.773363099,0.473812447,0.047992206,0.176443126,5.558274258
BLCH120A,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH121A,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH122A,35.19189124,35.29361812,35.41726327,35.61367499,32.94170704,0.033800001,35.50373445,34.55308355,0.306337023,26.74366289,27.03981834,27.16677088,31.42418561,23.05808852,0.268554787,29.63115166,23.82988495,1.92636097,0.077989714,0.068148372,0.098821363,0.065505472,23011.3194,23012.75093,22995.01646,23219.4383,22855.73177,23148.0523,22891.90166,82.20027995,0.045739458,0.035651141,0.034167815,0.215695645,0.020462538,0.064019513,0.027787394,0.037034571,3.555104262,3.307138746,8.273596622,6.58911272,1.245059823,1.72746795,20.15847441,19.13323412,15.43808027,26.81761394,15.22867644,26.3991445,15.77255174,3.287098159,8.077105641,8.074601317,8.120045308,8.126258776,8.044642893,8.119455528,8.045461775,0.025042711,2252.490967,2252.21693,2252.3436,2263.651185,2246.008513,2260.974972,2246.255403,4.498013345,0.324059074,0.352479366,0.56607157,0.50959068,0.071995838,0.138008811,2.702430019
BLCH145A,35.16564009,35.25565676,35.38782669,35.55417822,33.1004956,0.032160669,35.46116614,34.58453243,0.295631638,26.84933522,27.05896924,27.21238302,31.41432446,23.16893848,0.244459001,29.74066739,24.01580592,1.889403421,0.097260872,0.086949999,0.161006967,0.067703752,23021.58211,23032.78422,22871.21548,23162.43455,22871.11234,23132.59909,22881.88107,74.68704396,0.074987824,0.044190088,0.032746275,0.443244086,0.025534974,0.227818034,0.029684414,0.089718142,3.47150627,3.027771354,8.971384978,6.738354227,1.737744489,1.787327407,21.02656651,20.7838522,22.97992273,28.78208793,14.52934342,28.36036407,16.09434853,3.894394987,8.0799452,8.079435385,8.109659885,8.113117852,8.042487198,8.111781052,8.046631404,0.022512894,2251.572,2251.809939,2242.550221,2259.391008,2242.550221,2256.382103,2245.578502,3.886470769,0.309446819,0.320460091,0.775141003,0.603063758,0.046475786,0.181915872,8.164867516
BLCH148A,35.16564009,35.25565676,35.38782669,35.55417822,33.1004956,0.032160669,35.46116614,34.58453243,0.295631638,26.84933522,27.05896924,27.21238302,31.41432446,23.16893848,0.244459001,29.74066739,24.01580592,1.889403421,0.097260872,0.086949999,0.161006967,0.067703752,23021.58211,23032.78422,22871.21548,23162.43455,22871.11234,23132.59909,22881.88107,74.68704396,0.074987824,0.044190088,0.032746275,0.443244086,0.025534974,0.227818034,0.029684414,0.089718142,3.47150627,3.027771354,8.971384978,6.738354227,1.737744489,1.787327407,21.02656651,20.7838522,22.97992273,28.78208793,14.52934342,28.36036407,16.09434853,3.894394987,8.0799452,8.079435385,8.109659885,8.113117852,8.042487198,8.111781052,8.046631404,0.022512894,2251.572,2251.809939,2242.550221,2259.391008,2242.550221,2256.382103,2245.578502,3.886470769,0.309446819,0.320460091,0.775141003,0.603063758,0.046475786,0.181915872,8.164867516
BLCH151A,35.16564009,35.25565676,35.38782669,35.55417822,33.1004956,0.032160669,35.46116614,34.58453243,0.295631638,26.84933522,27.05896924,27.21238302,31.41432446,23.16893848,0.244459001,29.74066739,24.01580592,1.889403421,0.097260872,0.086949999,0.161006967,0.067703752,23021.58211,23032.78422,22871.21548,23162.43455,22871.11234,23132.59909,22881.88107,74.68704396,0.074987824,0.044190088,0.032746275,0.443244086,0.025534974,0.227818034,0.029684414,0.089718142,3.47150627,3.027771354,8.971384978,6.738354227,1.737744489,1.787327407,21.02656651,20.7838522,22.97992273,28.78208793,14.52934342,28.36036407,16.09434853,3.894394987,8.0799452,8.079435385,8.109659885,8.113117852,8.042487198,8.111781052,8.046631404,0.022512894,2251.572,2251.809939,2242.550221,2259.391008,2242.550221,2256.382103,2245.578502,3.886470769,0.309446819,0.320460091,0.775141003,0.603063758,0.046475786,0.181915872,8.164867516
BLCH152A,35.16564009,35.25565676,35.38782669,35.55417822,33.1004956,0.032160669,35.46116614,34.58453243,0.295631638,26.84933522,27.05896924,27.21238302,31.41432446,23.16893848,0.244459001,29.74066739,24.01580592,1.889403421,0.097260872,0.086949999,0.161006967,0.067703752,23021.58211,23032.78422,22871.21548,23162.43455,22871.11234,23132.59909,22881.88107,74.68704396,0.074987824,0.044190088,0.032746275,0.443244086,0.025534974,0.227818034,0.029684414,0.089718142,3.47150627,3.027771354,8.971384978,6.738354227,1.737744489,1.787327407,21.02656651,20.7838522,22.97992273,28.78208793,14.52934342,28.36036407,16.09434853,3.894394987,8.0799452,8.079435385,8.109659885,8.113117852,8.042487198,8.111781052,8.046631404,0.022512894,2251.572,2251.809939,2242.550221,2259.391008,2242.550221,2256.382103,2245.578502,3.886470769,0.309446819,0.320460091,0.775141003,0.603063758,0.046475786,0.181915872,8.164867516
BLCH154A,35.16564009,35.25565676,35.38782669,35.55417822,33.1004956,0.032160669,35.46116614,34.58453243,0.295631638,26.84933522,27.05896924,27.21238302,31.41432446,23.16893848,0.244459001,29.74066739,24.01580592,1.889403421,0.097260872,0.086949999,0.161006967,0.067703752,23021.58211,23032.78422,22871.21548,23162.43455,22871.11234,23132.59909,22881.88107,74.68704396,0.074987824,0.044190088,0.032746275,0.443244086,0.025534974,0.227818034,0.029684414,0.089718142,3.47150627,3.027771354,8.971384978,6.738354227,1.737744489,1.787327407,21.02656651,20.7838522,22.97992273,28.78208793,14.52934342,28.36036407,16.09434853,3.894394987,8.0799452,8.079435385,8.109659885,8.113117852,8.042487198,8.111781052,8.046631404,0.022512894,2251.572,2251.809939,2242.550221,2259.391008,2242.550221,2256.382103,2245.578502,3.886470769,0.309446819,0.320460091,0.775141003,0.603063758,0.046475786,0.181915872,8.164867516
BLCH157A,35.16564009,35.25565676,35.38782669,35.55417822,33.1004956,0.032160669,35.46116614,34.58453243,0.295631638,26.84933522,27.05896924,27.21238302,31.41432446,23.16893848,0.244459001,29.74066739,24.01580592,1.889403421,0.097260872,0.086949999,0.161006967,0.067703752,23021.58211,23032.78422,22871.21548,23162.43455,22871.11234,23132.59909,22881.88107,74.68704396,0.074987824,0.044190088,0.032746275,0.443244086,0.025534974,0.227818034,0.029684414,0.089718142,3.47150627,3.027771354,8.971384978,6.738354227,1.737744489,1.787327407,21.02656651,20.7838522,22.97992273,28.78208793,14.52934342,28.36036407,16.09434853,3.894394987,8.0799452,8.079435385,8.109659885,8.113117852,8.042487198,8.111781052,8.046631404,0.022512894,2251.572,2251.809939,2242.550221,2259.391008,2242.550221,2256.382103,2245.578502,3.886470769,0.309446819,0.320460091,0.775141003,0.603063758,0.046475786,0.181915872,8.164867516
BLCH16A,35.19061315,35.29291686,35.42310081,35.65236158,32.81556088,0.037083315,35.50935195,34.54982902,0.309694437,26.74381948,27.04709057,27.18817145,31.54577934,22.95810651,0.293276524,29.62022685,23.81117606,1.927807708,0.084205478,0.07075,0.091517174,0.054698268,23033.47981,23030.98288,23073.64467,23237.13233,22845.83553,23182.18502,22891.92815,93.65268949,0.052398585,0.036820177,0.031929355,0.184215228,0.020280249,0.16890274,0.026496476,0.042976935,4.215770956,3.635285662,11.97776891,7.688149137,1.472650629,2.509654513,21.30941342,20.25358621,29.25104856,30.71248959,14.16297539,30.33771049,16.94167986,4.462871222,8.075038626,8.075881011,8.045395445,8.114228588,8.030396007,8.110683363,8.036900471,0.024680718,2252.630905,2252.241051,2259.263696,2269.729904,2241.324701,2262.487042,2242.495634,6.3878654,0.281412202,0.271612754,0.773363099,0.473812447,0.047992206,0.176443126,5.558274258
BLCH174A,35.16664073,35.25706679,35.38993766,35.55409047,33.08840544,0.033011087,35.46247679,34.58365262,0.296143453,26.8436273,27.04945524,27.22173573,31.46418611,23.16742648,0.253341172,29.73454069,24.0056445,1.890209847,0.09481186,0.085257057,0.154223223,0.066153432,22992.58125,22999.03501,23035.09243,23122.81445,22864.92438,23106.59132,22896.55575,67.88173691,0.057399879,0.040250361,0.051270991,0.29967228,0.024803984,0.118579515,0.027406943,0.054920625,3.32179088,3.53012759,9.059200845,5.740913847,1.659303764,1.649391494,19.37770996,18.89270484,18.8519495,28.03110404,10.72079944,25.09675666,17.05917555,3.084276687,8.090354547,8.096143108,8.096143108,8.116433712,8.050678284,8.114846265,8.056642807,0.020997805,2251.431474,2251.870987,2250.872675,2260.751065,2242.75128,2259.593909,2243.523876,4.575347643,0.351922138,0.355427264,0.566634839,0.509852758,0.152865098,0.115433022,5.064659187
BLCH182A,35.20821599,35.30986693,35.44042931,35.78104956,32.76475462,0.039144881,35.53858187,34.5639741,0.317854343,26.64813364,26.95872962,27.24505675,31.2751644,22.97275419,0.285326098,29.50410362,23.71776825,1.930000356,0.133996146,0.109274079,0.153133947,0.098500344,23043.2748,23049.67525,22914.95577,23300.877,22864.87347,23184.92436,22914.97092,101.5398946,0.081904099,0.036255768,0.039855657,0.535808601,0.024924198,0.395596106,0.027379364,0.128593818,8.046611318,7.349643351,17.00999776,14.80871213,4.014743601,3.651153126,20.32731049,19.86225134,17.67963579,27.0942476,13.59237396,25.51954394,16.91663626,3.209837776,8.080426621,8.078208311,8.100236207,8.121782321,8.049437667,8.113581602,8.051583277,0.020057776,2253.088263,2250.607374,2254.496267,2267.663783,2243.081358,2264.848015,2244.275199,6.632166384,0.293717978,0.295080491,0.719606169,0.500770478,0.058304154,0.152548298,6.874139307
BLCH184B,35.20838959,35.31215176,35.44217263,35.81475858,32.85071365,0.040078428,35.540554,34.56065466,0.319820756,26.64362908,26.94729408,27.24314058,31.25234104,22.97289686,0.287698864,29.49886904,23.70443801,1.932507565,0.128655069,0.107077765,0.142283948,0.090572404,23005.50555,23031.75047,23099.37845,23198.56181,22802.84485,23180.20578,22827.51671,110.0953577,0.057638682,0.035362727,0.032395682,0.305938226,0.019710747,0.253815969,0.020424925,0.074712169,9.002898316,7.614769172,18.0399125,16.80029779,3.741046616,4.511456503,20.67935771,19.79398018,19.79398018,28.27501284,9.22337301,26.61749806,15.24304459,4.356721969,8.07271169,8.071297618,8.086644007,8.118158153,8.048695205,8.103194181,8.049497061,0.020270935,2250.989677,2250.806976,2251.935997,2269.349914,2241.079752,2261.190184,2244.837015,5.702275634,0.270700749,0.255240347,0.651538612,0.558283648,0.058670218,0.176392504,7.886391026
BLCH190A,35.20821599,35.30986693,35.44042931,35.78104956,32.76475462,0.039144881,35.53858187,34.5639741,0.317854343,26.64813364,26.95872962,27.24505675,31.2751644,22.97275419,0.285326098,29.50410362,23.71776825,1.930000356,0.133996146,0.109274079,0.153133947,0.098500344,23043.2748,23049.67525,22914.95577,23300.877,22864.87347,23184.92436,22914.97092,101.5398946,0.081904099,0.036255768,0.039855657,0.535808601,0.024924198,0.395596106,0.027379364,0.128593818,8.046611318,7.349643351,17.00999776,14.80871213,4.014743601,3.651153126,20.32731049,19.86225134,17.67963579,27.0942476,13.59237396,25.51954394,16.91663626,3.209837776,8.080426621,8.078208311,8.100236207,8.121782321,8.049437667,8.113581602,8.051583277,0.020057776,2253.088263,2250.607374,2254.496267,2267.663783,2243.081358,2264.848015,2244.275199,6.632166384,0.293717978,0.295080491,0.719606169,0.500770478,0.058304154,0.152548298,6.874139307
BLCH193B,35.20838959,35.31215176,35.44217263,35.81475858,32.85071365,0.040078428,35.540554,34.56065466,0.319820756,26.64362908,26.94729408,27.24314058,31.25234104,22.97289686,0.287698864,29.49886904,23.70443801,1.932507565,0.128655069,0.107077765,0.142283948,0.090572404,23005.50555,23031.75047,23099.37845,23198.56181,22802.84485,23180.20578,22827.51671,110.0953577,0.057638682,0.035362727,0.032395682,0.305938226,0.019710747,0.253815969,0.020424925,0.074712169,9.002898316,7.614769172,18.0399125,16.80029779,3.741046616,4.511456503,20.67935771,19.79398018,19.79398018,28.27501284,9.22337301,26.61749806,15.24304459,4.356721969,8.07271169,8.071297618,8.086644007,8.118158153,8.048695205,8.103194181,8.049497061,0.020270935,2250.989677,2250.806976,2251.935997,2269.349914,2241.079752,2261.190184,2244.837015,5.702275634,0.270700749,0.255240347,0.651538612,0.558283648,0.058670218,0.176392504,7.886391026
BLCH194B,35.20838959,35.31215176,35.44217263,35.81475858,32.85071365,0.040078428,35.540554,34.56065466,0.319820756,26.64362908,26.94729408,27.24314058,31.25234104,22.97289686,0.287698864,29.49886904,23.70443801,1.932507565,0.128655069,0.107077765,0.142283948,0.090572404,23005.50555,23031.75047,23099.37845,23198.56181,22802.84485,23180.20578,22827.51671,110.0953577,0.057638682,0.035362727,0.032395682,0.305938226,0.019710747,0.253815969,0.020424925,0.074712169,9.002898316,7.614769172,18.0399125,16.80029779,3.741046616,4.511456503,20.67935771,19.79398018,19.79398018,28.27501284,9.22337301,26.61749806,15.24304459,4.356721969,8.07271169,8.071297618,8.086644007,8.118158153,8.048695205,8.103194181,8.049497061,0.020270935,2250.989677,2250.806976,2251.935997,2269.349914,2241.079752,2261.190184,2244.837015,5.702275634,0.270700749,0.255240347,0.651538612,0.558283648,0.058670218,0.176392504,7.886391026
BLCH195B,35.20838959,35.31215176,35.44217263,35.81475858,32.85071365,0.040078428,35.540554,34.56065466,0.319820756,26.64362908,26.94729408,27.24314058,31.25234104,22.97289686,0.287698864,29.49886904,23.70443801,1.932507565,0.128655069,0.107077765,0.142283948,0.090572404,23005.50555,23031.75047,23099.37845,23198.56181,22802.84485,23180.20578,22827.51671,110.0953577,0.057638682,0.035362727,0.032395682,0.305938226,0.019710747,0.253815969,0.020424925,0.074712169,9.002898316,7.614769172,18.0399125,16.80029779,3.741046616,4.511456503,20.67935771,19.79398018,19.79398018,28.27501284,9.22337301,26.61749806,15.24304459,4.356721969,8.07271169,8.071297618,8.086644007,8.118158153,8.048695205,8.103194181,8.049497061,0.020270935,2250.989677,2250.806976,2251.935997,2269.349914,2241.079752,2261.190184,2244.837015,5.702275634,0.270700749,0.255240347,0.651538612,0.558283648,0.058670218,0.176392504,7.886391026
